2,3,0.8,0.2
3,2,-1.7,0.1
2,5,0.59,0.05
5,2,-0.6732,0.0007
2,6,-1.3,0.3
6,2,0.3,0.2
3,4,1.29,0.06  
4,3,-1.46,0.02 
3,5,-0.93,0.04 
5,3,0.9,0.1   
3,6,-1.88,0.04 
6,3,1.9,0.3  
3,7,-1.3,0.1
7,3,0.1,0.2
4,6,-3.4,0.4    
6,4,2.5,0.4
4,7,-0.8,0.2
7,4,1.6,0.2
5,6,-0.83,0.08
6,5,0.3,0.1
6,7,0.6,0.2
7,6,-1.6,0.3
44,45,-1.94,0.04
45,44,1.7,0.1
16,45,-1.2,0.4
45,16,-2.31,0.09
16,44,0.462,0.008
44,16,-0.6,1.3
15,16,0.74,0.07
16,15,-0.3,0.2
15,38,-0.5,0.2
38,15,0.8,0.2
36,38,0.9,0.3
38,36,-1.5,0.1
38,39,0.1,0.3
39,38,0.6,0.4
35,39,0.3,0.5
39,35,0.1,0.2
35,36,-0.60,0.06
36,35,0.7,0.1
15,8,-0.5,0.1
8,15,-1.3,0.2
8,6,-1.0,0.2
6,8,-0.5,0.3
